go_gc_duration_seconds&catalogue:80&catalogue&0,0.00029867100000000003,0.00029793,0.00029207,0.00029207,0.00029207,0.00029068000000000003,0.00028399,0.00028399,0.00028399,0.00028399,0.00028399,0.00028399,0.00028399,0.00028399,0.00028399,0.00028399,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00027636100000000003,0.00029048100000000004,0.00029048100000000004,0.00029048100000000004,0.00029048100000000004,0.00029048100000000004,0.00028483,0.00028483,0.00028483,0.00028483,0.00028483,0.00028483,0.00028483,0.00028483
go_gc_duration_seconds&catalogue:80&catalogue&0.25,0.00031121100000000004,0.00031199,0.00031014000000000004,0.00031121100000000004,0.000312811,0.000316791,0.00031783,0.00032032100000000004,0.00031810000000000003,0.000321601,0.000323431,0.00032437000000000004,0.00032569200000000004,0.00032962000000000003,0.000336301,0.00034250100000000005,0.0003435,0.000342932,0.000342932,0.00034582000000000005,0.000349106,0.000349901,0.000350971,0.00035313,0.00034769,0.00034872,0.000349801,0.00034651,0.00034788,0.00034978,0.00034651,0.00034788,0.00034795000000000003,0.00034651,0.000343741,0.000341411,0.000341062,0.00034343000000000004,0.00034368500000000004,0.00034343000000000004,0.00034911500000000005
go_gc_duration_seconds&catalogue:80&catalogue&0.5,0.000328031,0.000323431,0.00032262100000000004,0.000326441,0.000336301,0.000339961,0.00034388400000000003,0.00034632,0.000346551,0.00035049,0.000355431,0.000358172,0.00035851000000000004,0.00036414000000000005,0.00036891,0.00037926,0.00037949900000000005,0.00038204000000000005,0.00038251100000000004,0.00038388100000000003,0.00038525500000000004,0.00038721000000000003,0.00038721000000000003,0.000385556,0.00038525500000000004,0.00038721000000000003,0.000390211,0.00038721000000000003,0.000390211,0.00039112600000000005,0.000385556,0.00038873,0.00038894,0.000385556,0.00038320000000000004,0.000379042,0.00038202,0.000382282,0.000382282,0.000384879,0.00039109
go_gc_duration_seconds&catalogue:80&catalogue&0.75,0.000344462,0.000339132,0.000339431,0.00034714100000000003,0.000360892,0.00037219,0.00037926,0.00037945000000000003,0.00038472200000000005,0.000397545,0.000402331,0.00040755900000000005,0.000408441,0.00041123900000000004,0.00041465,0.000432491,0.00043491000000000005,0.00043836000000000005,0.00043836000000000005,0.00043836000000000005,0.00044553100000000004,0.00044778000000000005,0.000444311,0.000444311,0.000444771,0.000444771,0.00044574,0.000443812,0.00044574,0.000445681,0.000443812,0.000445681,0.000443519,0.000438712,0.00043536100000000005,0.000434966,0.00043536100000000005,0.000434966,0.00043685100000000004,0.00044009,0.000441839
go_gc_duration_seconds&catalogue:80&catalogue&1,0.00036932,0.00036932,0.00036932,0.000634841,0.000634841,0.0006468520000000001,0.0006468520000000001,0.0006468520000000001,0.0006468520000000001,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.001067437,0.000954761,0.000954761,0.000954761,0.000954761,0.000954761,0.000954761,0.000954761,0.000954761,0.000747982,0.000747982,0.000747982,0.000747982,0.000747982,0.000818591,0.000818591,0.000818591,0.000818591,0.000818591,0.000818591
go_gc_duration_seconds&payment:80&payment&0,0.00027633000000000003,0.00027633000000000003,0.00027633000000000003,0.00026901000000000003,0.00026901000000000003,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026699,0.00026755,0.00026755,0.00026755,0.00026755,0.00026755,0.00026755,0.00026755,0.00026755,0.00026755,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.000273842,0.0002762,0.0002762
go_gc_duration_seconds&payment:80&payment&0.25,0.00029126,0.00029658,0.00029729100000000004,0.000299421,0.00030305100000000004,0.00030410100000000003,0.00030527,0.00031359000000000004,0.00031611000000000003,0.000316631,0.00031856,0.00031956000000000004,0.00032010100000000004,0.00032348,0.00032799900000000004,0.00033607200000000003,0.000337039,0.000337561,0.000337602,0.000337561,0.00033844,0.000337151,0.00033449,0.000336342,0.000334659,0.00033449,0.000334659,0.000334752,0.000334752,0.000335854,0.000334752,0.00033298100000000004,0.00033298100000000004,0.00033224000000000003,0.00033224000000000003,0.000335854,0.000336931,0.0003368,0.0003368,0.00034004,0.00033913000000000004
go_gc_duration_seconds&payment:80&payment&0.5,0.00030396000000000004,0.000308561,0.000308561,0.00031611000000000003,0.000320192,0.00032751000000000004,0.00033570000000000003,0.000343194,0.000348121,0.00035112100000000003,0.00035112100000000003,0.00035822100000000004,0.00035894000000000003,0.000361741,0.00036752000000000003,0.000379811,0.000379811,0.00037927,0.000378471,0.00037928100000000003,0.000379992,0.000379059,0.00037723000000000005,0.00037928100000000003,0.000378712,0.000378884,0.00037928100000000003,0.000379342,0.000379059,0.000379761,0.000378884,0.000378884,0.00037772,0.000378884,0.00037859300000000004,0.00038221,0.000380341,0.00037859300000000004,0.0003757,0.00037772,0.000375871
go_gc_duration_seconds&payment:80&payment&0.75,0.00032476200000000003,0.00033915000000000003,0.000326371,0.00033915000000000003,0.00035635,0.00039078100000000004,0.00039451000000000004,0.00040095900000000005,0.00041546100000000005,0.00041467,0.00041467,0.00042116,0.00042737600000000004,0.000434501,0.00043953000000000004,0.000447095,0.000443261,0.000443261,0.00044548900000000003,0.00044548900000000003,0.00044659100000000003,0.00043953000000000004,0.00043529100000000003,0.000439091,0.00043751,0.00043751,0.00043751,0.000427392,0.000427801,0.0004354,0.00042512100000000004,0.00042512100000000004,0.00042512100000000004,0.000427781,0.00042674900000000003,0.0004354,0.000427781,0.000427602,0.000423029,0.000422421,0.000423029
go_gc_duration_seconds&payment:80&payment&1,0.00049793,0.00049793,0.00049793,0.00064561,0.00064561,0.00064561,0.00064561,0.000658541,0.000658541,0.000658541,0.000658541,0.000658541,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000899272,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000750151,0.000744831,0.000744831,0.000744831,0.000744831,0.000744831
